location	Mar de Espanha	-21.866945	-43.01
location	Extrema	-22.8549109	-46.3190079
location	Alvinópolis	-20.1105199	-43.0601805
location	Entre Rios de Minas	-20.670834	-44.065556
location	Esmeraldas	-19.7613111	-44.3145945
location	Nova Lima	-19.9854089	-43.8470691
location	Madre de Deus de Minas	-21.482223	-44.329723
location	Nova Iguaçu	-22.7592175	-43.4508728
location	Belo Horizonte	-19.9225776	-43.9451356
location	Itapecerica da Serra	-23.7176303	-46.8492435
location	Simão Pereira	-21.963611	-43.311667
location	Matias Barbosa	-21.8691643	-43.3180624
location	Mariana	-20.3781468	-43.4174862
location	Santo Antônio do Aventureiro	-21.7579052	-42.815566
location	Mairinque	-23.5401247	-47.1846323
location	Cotia	-23.603889	-46.918889
location	Juiz de Fora	-21.7609533	-43.3501129
location	Igaratá	-23.2063475	-46.156934
location	Sumidouro	-22.0455	-42.6735
location	Belmiro Braga	-21.9486291	-43.413564
location	Teresópolis	-22.4164578	-42.975194
location	Piau	-21.5074738	-43.320587
location	Vargem Grande Paulista	-23.599338	-47.022038
location	Itatiaiuçu	-20.1975724	-44.4224889
location	São Lourenço da Serra	-23.8535923	-46.9440587
location	Brumadinho	-20.143611	-44.2
location	Itabirito	-20.2519724	-43.8029171
location	Santa Bárbara	-19.959444	-43.415278
location	Piranga	-20.685	-43.3
location	Guarulhos	-23.4430602	-46.524459
location	Atibaia	-23.1177393	-46.5547861
location	Jacareí	-23.30528	-45.96583
location	Angra dos Reis	-23.0063966	-44.316326
location	Valença	-22.2461028	-43.6996917
location	Tapiraí	-23.9638345	-47.5067136
location	Salto de Pirapora	-23.6492502	-47.5729465
location	Duas Barras	-22.0522519	-42.5194705
location	Santa Isabel	-23.3194222	-46.2271903
location	Sarapuí	-23.63974	-47.824863
location	São José dos Campos	-23.1867782	-45.8854538
location	Embu Guaçu	-23.8317997	-46.8156204
location	Ilha Grande	-23.155540549999998	-44.23448088153183
location	Volta Redonda	-22.521856	-44.1040128
location	Pilar do Sul	-23.8121684	-47.7201865
location	Tambaú	-21.70292	-47.270344
location	Juquiá	-24.3172209	-47.6355618
location	Itariri	-24.2900711	-47.176151
location	Bananal	-22.6828195	-44.3221095
location	Campos do Jordão	-22.7395263	-45.5912829
location	Pindamonhangaba	-22.9364	-45.4622602
location	Itapetininga	-23.588607	-48.048326
location	Taubaté	-23.031448	-45.5612792
location	Ubatuba	-23.433162	-45.083415
